Tank_Number,Cycle_Number,Collected,Reef,Temperature,Ramp_Started_Day_1,Colony_Number,Day,Score,Scorer_1,Scorer_2,Scorer_3,Notes,Notes2
9,6,7/19/18,42,34,,302,0,V,KCH,NSW,,,
9,6,7/19/18,42,34,,302,1,V,KCH,BHC,,,
9,6,7/19/18,42,34,,302,2,V,KCH,NSW,BHC,,
10,6,7/19/18,42,34.5,,302,0,N,KCH,NSW,,,
10,6,7/19/18,42,34.5,,302,1,M,KCH,BHC,,,
10,6,7/19/18,42,34.5,,302,2,M,KCH,NSW,BHC,,
6,6,7/19/18,42,30,,304,0,V,KCH,NSW,,,
6,6,7/19/18,42,30,,304,1,V,KCH,BHC,,,
6,6,7/19/18,42,30,,304,2,V,KCH,BHC,NSW,,
7,6,7/19/18,42,30,,304,0,V,KCH,NSW,,,
7,6,7/19/18,42,30,,304,1,M,KCH,BHC,,,
7,6,7/19/18,42,30,,304,2,V,KCH,NSW,BHC,,
8,6,7/19/18,42,33.5,,304,0,S,KCH,NSW,,,
8,6,7/19/18,42,33.5,,304,1,M/S,KCH,BHC,,,
8,6,7/19/18,42,33.5,,304,2,M,KCH,NSW,BHC,,
9,6,7/19/18,42,34,,304,0,S,KCH,NSW,,,
9,6,7/19/18,42,34,,304,1,S,KCH,BHC,,,
9,6,7/19/18,42,34,,304,2,S,KCH,NSW,BHC,,
10,6,7/19/18,42,34.5,,304,0,M,KCH,NSW,,,
10,6,7/19/18,42,34.5,,304,1,S,KCH,BHC,,,
10,6,7/19/18,42,34.5,,304,2,T,KCH,NSW,BHC,,
6,6,7/19/18,42,30,,306,0,V,KCH,NSW,,,
6,6,7/19/18,42,30,,306,1,V,KCH,BHC,,,
6,6,7/19/18,42,30,,306,2,V,KCH,BHC,NSW,,
7,6,7/19/18,42,30,,306,0,M,KCH,NSW,,,
7,6,7/19/18,42,30,,306,1,M,KCH,BHC,,,
7,6,7/19/18,42,30,,306,2,M,KCH,NSW,BHC,,
8,6,7/19/18,42,33.5,,306,0,M,KCH,NSW,,,
8,6,7/19/18,42,33.5,,306,1,M,KCH,BHC,,,
8,6,7/19/18,42,33.5,,306,2,S,KCH,NSW,BHC,,
9,6,7/19/18,42,34,,306,0,V,KCH,NSW,,,
9,6,7/19/18,42,34,,306,1,V,KCH,BHC,,,
9,6,7/19/18,42,34,,306,2,V,KCH,NSW,BHC,,
10,6,7/19/18,42,34.5,,306,0,M,KCH,NSW,,,
10,6,7/19/18,42,34.5,,306,1,S,KCH,BHC,,,
10,6,7/19/18,42,34.5,,306,2,T,KCH,NSW,BHC,,
6,6,7/19/18,42,30,,307,0,V,KCH,NSW,,,
6,6,7/19/18,42,30,,307,1,V,KCH,BHC,,,
6,6,7/19/18,42,30,,307,2,V,KCH,BHC,NSW,,
7,6,7/19/18,42,30,,307,0,V,KCH,NSW,,,
7,6,7/19/18,42,30,,307,1,M,KCH,BHC,,,
7,6,7/19/18,42,30,,307,2,V,KCH,NSW,BHC,,
8,6,7/19/18,42,33.5,,307,0,M,KCH,NSW,,,
8,6,7/19/18,42,33.5,,307,1,M,KCH,BHC,,,
8,6,7/19/18,42,33.5,,307,2,M,KCH,NSW,BHC,,
9,6,7/19/18,42,34,,307,0,V,KCH,NSW,,,
9,6,7/19/18,42,34,,307,1,V,KCH,BHC,,,
9,6,7/19/18,42,34,,307,2,V,KCH,NSW,BHC,,
10,6,7/19/18,42,34.5,,307,0,V,KCH,NSW,,,
10,6,7/19/18,42,34.5,,307,1,M,KCH,BHC,,,
10,6,7/19/18,42,34.5,,307,2,T,KCH,NSW,BHC,,
6,6,7/19/18,42,30,,308,0,V,KCH,NSW,,,
6,6,7/19/18,42,30,,308,1,V,KCH,BHC,,,
6,6,7/19/18,42,30,,308,2,V,KCH,BHC,NSW,,
7,6,7/19/18,42,30,,308,0,M,KCH,NSW,,,
7,6,7/19/18,42,30,,308,1,M,KCH,BHC,,,
7,6,7/19/18,42,30,,308,2,M,KCH,NSW,BHC,,
8,6,7/19/18,42,33.5,,308,0,M,KCH,NSW,,,
8,6,7/19/18,42,33.5,,308,1,M,KCH,BHC,,,
8,6,7/19/18,42,33.5,,308,2,M,KCH,NSW,BHC,,
9,6,7/19/18,42,34,,308,0,M,KCH,NSW,,,
